Date : 2026-07-16 13:32:32
Directory : d:\HDSP_HYBRID\frontend
Total : 142 files,  68096 codes, 1841 comments, 3338 blanks, all 73275 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\HDSP_HYBRID\frontend\package.json                                                 | JSON               |         54 |          0 |          1 |         55 |
| d:\HDSP_HYBRID\frontend\public\logo-full.svg                                         | XML                |     15,787 |          0 |         90 |     15,877 |
| d:\HDSP_HYBRID\frontend\public\logo-icon.svg                                         | XML                |     11,196 |          0 |         52 |     11,248 |
| d:\HDSP_HYBRID\frontend\src\app\(auth)\change-password\page.tsx                      | TypeScript JSX     |        169 |          0 |         15 |        184 |
| d:\HDSP_HYBRID\frontend\src\app\(auth)\login\page.tsx                                | TypeScript JSX     |        801 |         55 |         46 |        902 |
| d:\HDSP_HYBRID\frontend\src\app\(auth)\setup\page.tsx                                | TypeScript JSX     |        202 |          4 |         20 |        226 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\attendance\monitoring\page.tsx            | TypeScript JSX     |        424 |          0 |         26 |        450 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\displays\page.tsx                     | TypeScript JSX     |        870 |         20 |         74 |        964 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\emergency\page.tsx                    | TypeScript JSX     |        136 |          0 |         16 |        152 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\groups\page.tsx                       | TypeScript JSX     |        135 |          0 |         19 |        154 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\media\page.tsx                        | TypeScript JSX     |        294 |          2 |         23 |        319 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\monitoring\page.tsx                   | TypeScript JSX     |        245 |          1 |         24 |        270 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\playlists\[id]\page.tsx               | TypeScript JSX     |        612 |         14 |         52 |        678 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\playlists\page.tsx                    | TypeScript JSX     |        149 |          0 |         13 |        162 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\settings\page.tsx                     | TypeScript JSX     |        107 |          0 |         14 |        121 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\dashboard\page.tsx                        | TypeScript JSX     |        634 |         23 |         36 |        693 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\assessments\[id]\page.tsx             | TypeScript JSX     |        808 |         19 |         81 |        908 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\assessments\page.tsx                  | TypeScript JSX     |        267 |          3 |         24 |        294 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\discharge\[id]\page.tsx               | TypeScript JSX     |        455 |          3 |         17 |        475 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\enrollments\[id]\page.tsx             | TypeScript JSX     |      1,161 |         23 |         58 |      1,242 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\enrollments\new\page.tsx              | TypeScript JSX     |        242 |          6 |         24 |        272 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\layout.tsx                            | TypeScript JSX     |          9 |          0 |          3 |         12 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\page.tsx                              | TypeScript JSX     |        101 |          1 |          8 |        110 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\patients\[id]\page.tsx                | TypeScript JSX     |        368 |         12 |         30 |        410 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\patients\new\page.tsx                 | TypeScript JSX     |        210 |          4 |         21 |        235 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\patients\page.tsx                     | TypeScript JSX     |        235 |          2 |         12 |        249 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\patients\search\page.tsx              | TypeScript JSX     |        248 |          8 |         25 |        281 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\preschool\[id]\page.tsx               | TypeScript JSX     |        813 |         35 |         76 |        924 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\preschool\new\page.tsx                | TypeScript JSX     |        278 |          7 |         28 |        313 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\preschool\page.tsx                    | TypeScript JSX     |        164 |          2 |         14 |        180 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\progress-reports\[id]\page.tsx        | TypeScript JSX     |        487 |          7 |         36 |        530 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\progress-reports\page.tsx             | TypeScript JSX     |        311 |         20 |         36 |        367 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\sessions\[id]\page.tsx                | TypeScript JSX     |        406 |         20 |         35 |        461 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\sessions\page.tsx                     | TypeScript JSX     |        220 |          2 |         19 |        241 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\sync\page.tsx                         | TypeScript JSX     |        429 |          9 |         33 |        471 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\feedback\analytics\page.tsx               | TypeScript JSX     |        251 |          6 |         18 |        275 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\feedback\campaigns\page.tsx               | TypeScript JSX     |        274 |          3 |         23 |        300 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\feedback\complaints\page.tsx              | TypeScript JSX     |        275 |          8 |         23 |        306 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\feedback\forms\[id]\page.tsx              | TypeScript JSX     |        775 |         48 |         88 |        911 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\feedback\forms\page.tsx                   | TypeScript JSX     |        203 |          0 |         18 |        221 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\feedback\languages\page.tsx               | TypeScript JSX     |         87 |          6 |         13 |        106 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\feedback\qr-codes\page.tsx                | TypeScript JSX     |        238 |          5 |         27 |        270 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\feedback\responses\page.tsx               | TypeScript JSX     |        101 |          7 |         13 |        121 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\feedback\settings\page.tsx                | TypeScript JSX     |        163 |         14 |         19 |        196 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\forms\designer\[documentId]\page.tsx      | TypeScript JSX     |        195 |         32 |         28 |        255 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\forms\designer\page.tsx                   | TypeScript JSX     |        148 |          8 |         12 |        168 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\forms\designer\templates\page.tsx         | TypeScript JSX     |        123 |          8 |         12 |        143 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\forms\import\page.tsx                     | TypeScript JSX     |        426 |         42 |         55 |        523 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\layout.tsx                                | TypeScript JSX     |        617 |         31 |         44 |        692 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\loyalty\accounts\[id]\page.tsx            | TypeScript JSX     |        398 |         11 |         26 |        435 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\loyalty\campaigns\page.tsx                | TypeScript JSX     |        483 |         10 |         33 |        526 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\loyalty\earn\page.tsx                     | TypeScript JSX     |        251 |          3 |         22 |        276 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\loyalty\enroll\page.tsx                   | TypeScript JSX     |        190 |          6 |         18 |        214 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\loyalty\page.tsx                          | TypeScript JSX     |        621 |         26 |         50 |        697 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\notifications\page.tsx                    | TypeScript JSX     |        401 |          8 |         33 |        442 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\rbac\page.tsx                             | TypeScript JSX     |        243 |          9 |         19 |        271 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\reports\page.tsx                          | TypeScript JSX     |        351 |          8 |         19 |        378 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\security\password-reset-requests\page.tsx | TypeScript JSX     |        447 |         11 |         32 |        490 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\settings\card-config\page.tsx             | TypeScript JSX     |        347 |         12 |         28 |        387 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\settings\license\page.tsx                 | TypeScript JSX     |        815 |         28 |         52 |        895 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\settings\page.tsx                         | TypeScript JSX     |          4 |          0 |          2 |          6 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\token\config\kiosks\page.tsx              | TypeScript JSX     |        422 |         24 |         39 |        485 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\token\config\page.tsx                     | TypeScript JSX     |        440 |          8 |         30 |        478 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\token\config\sc-configs\page.tsx          | TypeScript JSX     |        412 |          7 |         40 |        459 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\token\layout.tsx                          | TypeScript JSX     |          7 |          0 |          3 |         10 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\token\loading.tsx                         | TypeScript JSX     |          9 |          6 |          2 |         17 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\token\page.tsx                            | TypeScript JSX     |      1,071 |        153 |        115 |      1,339 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\token\print-config\page.tsx               | TypeScript JSX     |        248 |          1 |         29 |        278 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\users\page.tsx                            | TypeScript JSX     |        728 |         31 |         44 |        803 |
| d:\HDSP_HYBRID\frontend\src\app\cms\player\[slug]\content-renderers.tsx              | TypeScript JSX     |         22 |         18 |          7 |         47 |
| d:\HDSP_HYBRID\frontend\src\app\cms\player\[slug]\page.tsx                           | TypeScript JSX     |        342 |         56 |         46 |        444 |
| d:\HDSP_HYBRID\frontend\src\app\cms\player\[slug]\player-cache.ts                    | TypeScript         |         89 |         26 |         14 |        129 |
| d:\HDSP_HYBRID\frontend\src\app\cms\player\[slug]\player-log.ts                      | TypeScript         |         40 |          9 |          9 |         58 |
| d:\HDSP_HYBRID\frontend\src\app\cms\player\[slug]\player-storage.ts                  | TypeScript         |         38 |         12 |          7 |         57 |
| d:\HDSP_HYBRID\frontend\src\app\cms\player\[slug]\renderers\image.plugin.tsx         | TypeScript JSX     |         26 |          2 |          5 |         33 |
| d:\HDSP_HYBRID\frontend\src\app\cms\player\[slug]\renderers\plugin-types.ts          | TypeScript         |         43 |         28 |          8 |         79 |
| d:\HDSP_HYBRID\frontend\src\app\cms\player\[slug]\renderers\queue-widget.plugin.tsx  | TypeScript JSX     |        144 |         15 |         17 |        176 |
| d:\HDSP_HYBRID\frontend\src\app\cms\player\[slug]\renderers\registry.ts              | TypeScript         |         22 |          2 |          7 |         31 |
| d:\HDSP_HYBRID\frontend\src\app\cms\player\[slug]\renderers\video.plugin.tsx         | TypeScript JSX     |         26 |          0 |          5 |         31 |
| d:\HDSP_HYBRID\frontend\src\app\cms\player\[slug]\ticker-overlay.tsx                 | TypeScript JSX     |         81 |         21 |         13 |        115 |
