Date : 2026-07-16 13:33:02
Directory : d:\HDSP_HYBRID\vendor-portal
Total : 204 files,  -53705 codes, -1481 comments, -2467 blanks, all -57653 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| ..\frontend\src\app\(platform)\eic\progress-reports\[id]                                                  |          1 |       -487 |         -7 |        -36 |       -530 |
| ..\frontend\src\app\(platform)\eic\sessions                                                               |          2 |       -626 |        -22 |        -54 |       -702 |
| ..\frontend\src\app\(platform)\eic\sessions (Files)                                                       |          1 |       -220 |         -2 |        -19 |       -241 |
| ..\frontend\src\app\(platform)\eic\sessions\[id]                                                          |          1 |       -406 |        -20 |        -35 |       -461 |
| ..\frontend\src\app\(platform)\eic\sync                                                                   |          1 |       -429 |         -9 |        -33 |       -471 |
| ..\frontend\src\app\(platform)\feedback                                                                   |          9 |     -2,367 |        -97 |       -242 |     -2,706 |
| ..\frontend\src\app\(platform)\feedback\analytics                                                         |          1 |       -251 |         -6 |        -18 |       -275 |
| ..\frontend\src\app\(platform)\feedback\campaigns                                                         |          1 |       -274 |         -3 |        -23 |       -300 |
| ..\frontend\src\app\(platform)\feedback\complaints                                                        |          1 |       -275 |         -8 |        -23 |       -306 |
| ..\frontend\src\app\(platform)\feedback\forms                                                             |          2 |       -978 |        -48 |       -106 |     -1,132 |
| ..\frontend\src\app\(platform)\feedback\forms (Files)                                                     |          1 |       -203 |          0 |        -18 |       -221 |
| ..\frontend\src\app\(platform)\feedback\forms\[id]                                                        |          1 |       -775 |        -48 |        -88 |       -911 |
| ..\frontend\src\app\(platform)\feedback\languages                                                         |          1 |        -87 |         -6 |        -13 |       -106 |
| ..\frontend\src\app\(platform)\feedback\qr-codes                                                          |          1 |       -238 |         -5 |        -27 |       -270 |
| ..\frontend\src\app\(platform)\feedback\responses                                                         |          1 |       -101 |         -7 |        -13 |       -121 |
| ..\frontend\src\app\(platform)\feedback\settings                                                          |          1 |       -163 |        -14 |        -19 |       -196 |
| ..\frontend\src\app\(platform)\forms                                                                      |          4 |       -892 |        -90 |       -107 |     -1,089 |
| ..\frontend\src\app\(platform)\forms\designer                                                             |          3 |       -466 |        -48 |        -52 |       -566 |
| ..\frontend\src\app\(platform)\forms\designer (Files)                                                     |          1 |       -148 |         -8 |        -12 |       -168 |
| ..\frontend\src\app\(platform)\forms\designer\[documentId]                                                |          1 |       -195 |        -32 |        -28 |       -255 |
| ..\frontend\src\app\(platform)\forms\designer\templates                                                   |          1 |       -123 |         -8 |        -12 |       -143 |
| ..\frontend\src\app\(platform)\forms\import                                                               |          1 |       -426 |        -42 |        -55 |       -523 |
| ..\frontend\src\app\(platform)\loyalty                                                                    |          5 |     -1,943 |        -56 |       -149 |     -2,148 |
| ..\frontend\src\app\(platform)\loyalty (Files)                                                            |          1 |       -621 |        -26 |        -50 |       -697 |
| ..\frontend\src\app\(platform)\loyalty\accounts                                                           |          1 |       -398 |        -11 |        -26 |       -435 |
| ..\frontend\src\app\(platform)\loyalty\accounts\[id]                                                      |          1 |       -398 |        -11 |        -26 |       -435 |
| ..\frontend\src\app\(platform)\loyalty\campaigns                                                          |          1 |       -483 |        -10 |        -33 |       -526 |
| ..\frontend\src\app\(platform)\loyalty\earn                                                               |          1 |       -251 |         -3 |        -22 |       -276 |
| ..\frontend\src\app\(platform)\loyalty\enroll                                                             |          1 |       -190 |         -6 |        -18 |       -214 |
| ..\frontend\src\app\(platform)\notifications                                                              |          1 |       -401 |         -8 |        -33 |       -442 |
| ..\frontend\src\app\(platform)\rbac                                                                       |          1 |       -243 |         -9 |        -19 |       -271 |
| ..\frontend\src\app\(platform)\reports                                                                    |          1 |       -351 |         -8 |        -19 |       -378 |
| ..\frontend\src\app\(platform)\security                                                                   |          1 |       -447 |        -11 |        -32 |       -490 |
| ..\frontend\src\app\(platform)\security\password-reset-requests                                           |          1 |       -447 |        -11 |        -32 |       -490 |
| ..\frontend\src\app\(platform)\settings                                                                   |          3 |     -1,166 |        -40 |        -82 |     -1,288 |
| ..\frontend\src\app\(platform)\settings (Files)                                                           |          1 |         -4 |          0 |         -2 |         -6 |
| ..\frontend\src\app\(platform)\settings\card-config                                                       |          1 |       -347 |        -12 |        -28 |       -387 |
| ..\frontend\src\app\(platform)\settings\license                                                           |          1 |       -815 |        -28 |        -52 |       -895 |
| ..\frontend\src\app\(platform)\token                                                                      |          7 |     -2,609 |       -199 |       -258 |     -3,066 |
| ..\frontend\src\app\(platform)\token (Files)                                                              |          3 |     -1,087 |       -159 |       -120 |     -1,366 |
| ..\frontend\src\app\(platform)\token\config                                                               |          3 |     -1,274 |        -39 |       -109 |     -1,422 |
| ..\frontend\src\app\(platform)\token\config (Files)                                                       |          1 |       -440 |         -8 |        -30 |       -478 |
| ..\frontend\src\app\(platform)\token\config\kiosks                                                        |          1 |       -422 |        -24 |        -39 |       -485 |
| ..\frontend\src\app\(platform)\token\config\sc-configs                                                    |          1 |       -412 |         -7 |        -40 |       -459 |
| ..\frontend\src\app\(platform)\token\print-config                                                         |          1 |       -248 |         -1 |        -29 |       -278 |
