"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "Markdown", "Docker", "TypeScript JSX", "JSON", "YAML", "XML", "comment", "blank", "total"
"d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\sessions\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -220, 0, 0, 0, -2, -19, -241
"d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\sync\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -429, 0, 0, 0, -9, -33, -471
"d:\HDSP_HYBRID\frontend\src\app\(platform)\feedback\analytics\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -251, 0, 0, 0, -6, -18, -275
"d:\HDSP_HYBRID\frontend\src\app\(platform)\feedback\campaigns\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -274, 0, 0, 0, -3, -23, -300
"d:\HDSP_HYBRID\frontend\src\app\(platform)\feedback\complaints\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -275, 0, 0, 0, -8, -23, -306
"d:\HDSP_HYBRID\frontend\src\app\(platform)\feedback\forms\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -775, 0, 0, 0, -48, -88, -911
"d:\HDSP_HYBRID\frontend\src\app\(platform)\feedback\forms\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -203, 0, 0, 0, 0, -18, -221
"d:\HDSP_HYBRID\frontend\src\app\(platform)\feedback\languages\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -87, 0, 0, 0, -6, -13, -106
"d:\HDSP_HYBRID\frontend\src\app\(platform)\feedback\qr-codes\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -238, 0, 0, 0, -5, -27, -270
"d:\HDSP_HYBRID\frontend\src\app\(platform)\feedback\responses\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -101, 0, 0, 0, -7, -13, -121
"d:\HDSP_HYBRID\frontend\src\app\(platform)\feedback\settings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -163, 0, 0, 0, -14, -19, -196
"d:\HDSP_HYBRID\frontend\src\app\(platform)\forms\designer\[documentId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -195, 0, 0, 0, -32, -28, -255
"d:\HDSP_HYBRID\frontend\src\app\(platform)\forms\designer\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -148, 0, 0, 0, -8, -12, -168
"d:\HDSP_HYBRID\frontend\src\app\(platform)\forms\designer\templates\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -123, 0, 0, 0, -8, -12, -143
"d:\HDSP_HYBRID\frontend\src\app\(platform)\forms\import\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -426, 0, 0, 0, -42, -55, -523
"d:\HDSP_HYBRID\frontend\src\app\(platform)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -617, 0, 0, 0, -31, -44, -692
"d:\HDSP_HYBRID\frontend\src\app\(platform)\loyalty\accounts\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -398, 0, 0, 0, -11, -26, -435
"d:\HDSP_HYBRID\frontend\src\app\(platform)\loyalty\campaigns\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -483, 0, 0, 0, -10, -33, -526
"d:\HDSP_HYBRID\frontend\src\app\(platform)\loyalty\earn\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -251, 0, 0, 0, -3, -22, -276
"d:\HDSP_HYBRID\frontend\src\app\(platform)\loyalty\enroll\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -190, 0, 0, 0, -6, -18, -214
"d:\HDSP_HYBRID\frontend\src\app\(platform)\loyalty\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -621, 0, 0, 0, -26, -50, -697
"d:\HDSP_HYBRID\frontend\src\app\(platform)\notifications\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -401, 0, 0, 0, -8, -33, -442
"d:\HDSP_HYBRID\frontend\src\app\(platform)\rbac\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -243, 0, 0, 0, -9, -19, -271
"d:\HDSP_HYBRID\frontend\src\app\(platform)\reports\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -351, 0, 0, 0, -8, -19, -378
"d:\HDSP_HYBRID\frontend\src\app\(platform)\security\password-reset-requests\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -447, 0, 0, 0, -11, -32, -490
"d:\HDSP_HYBRID\frontend\src\app\(platform)\settings\card-config\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -347, 0, 0, 0, -12, -28, -387
"d:\HDSP_HYBRID\frontend\src\app\(platform)\settings\license\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -815, 0, 0, 0, -28, -52, -895
"d:\HDSP_HYBRID\frontend\src\app\(platform)\settings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, -2, -6
"d:\HDSP_HYBRID\frontend\src\app\(platform)\token\config\kiosks\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -422, 0, 0, 0, -24, -39, -485
"d:\HDSP_HYBRID\frontend\src\app\(platform)\token\config\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -440, 0, 0, 0, -8, -30, -478
"d:\HDSP_HYBRID\frontend\src\app\(platform)\token\config\sc-configs\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -412, 0, 0, 0, -7, -40, -459
"d:\HDSP_HYBRID\frontend\src\app\(platform)\token\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, -3, -10
"d:\HDSP_HYBRID\frontend\src\app\(platform)\token\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -9, 0, 0, 0, -6, -2, -17
"d:\HDSP_HYBRID\frontend\src\app\(platform)\token\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -1071, 0, 0, 0, -153, -115, -1339
"d:\HDSP_HYBRID\frontend\src\app\(platform)\token\print-config\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -248, 0, 0, 0, -1, -29, -278
"d:\HDSP_HYBRID\frontend\src\app\(platform)\users\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -728, 0, 0, 0, -31, -44, -803
"d:\HDSP_HYBRID\frontend\src\app\cms\player\[slug]\content-renderers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -22, 0, 0, 0, -18, -7, -47
"d:\HDSP_HYBRID\frontend\src\app\cms\player\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -342, 0, 0, 0, -56, -46, -444
"d:\HDSP_HYBRID\frontend\src\app\cms\player\[slug]\player-cache.ts", "TypeScript", -89, 0, 0, 0, 0, 0, 0, 0, 0, -26, -14, -129
"d:\HDSP_HYBRID\frontend\src\app\cms\player\[slug]\player-log.ts", "TypeScript", -40, 0, 0, 0, 0, 0, 0, 0, 0, -9, -9, -58
"d:\HDSP_HYBRID\frontend\src\app\cms\player\[slug]\player-storage.ts", "TypeScript", -38, 0, 0, 0, 0, 0, 0, 0, 0, -12, -7, -57
"d:\HDSP_HYBRID\frontend\src\app\cms\player\[slug]\renderers\image.plugin.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -26, 0, 0, 0, -2, -5, -33
"d:\HDSP_HYBRID\frontend\src\app\cms\player\[slug]\renderers\plugin-types.ts", "TypeScript", -43, 0, 0, 0, 0, 0, 0, 0, 0, -28, -8, -79
"d:\HDSP_HYBRID\frontend\src\app\cms\player\[slug]\renderers\queue-widget.plugin.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -144, 0, 0, 0, -15, -17, -176
