"filename", "language", "TypeScript JSX", "JSON with Comments", "TypeScript", "JavaScript", "JSON", "XML", "Markdown", "MS SQL", "comment", "blank", "total"
"d:\HDSP_HYBRID\backend\src\modules\document-platform\forms-import\ocr\ocr-provider.interface.ts", "TypeScript", 0, 0, -6, 0, 0, 0, 0, 0, -11, -4, -21
"d:\HDSP_HYBRID\backend\src\modules\document-platform\forms-import\ocr\tesseract-ocr.provider.ts", "TypeScript", 0, 0, -115, 0, 0, 0, 0, 0, -20, -10, -145
"d:\HDSP_HYBRID\backend\src\modules\document-platform\forms-import\schema-gen\schema-generator.ts", "TypeScript", 0, 0, -99, 0, 0, 0, 0, 0, -13, -12, -124
"d:\HDSP_HYBRID\backend\src\modules\document-platform\forms-import\suggestions\suggestion-engine.ts", "TypeScript", 0, 0, -113, 0, 0, 0, 0, 0, -15, -14, -142
"d:\HDSP_HYBRID\backend\src\modules\document-platform\forms-runtime\__tests__\forms-runtime.service.spec.ts", "TypeScript", 0, 0, -302, 0, 0, 0, 0, 0, -40, -42, -384
"d:\HDSP_HYBRID\backend\src\modules\document-platform\forms-runtime\dto\create-form-instance.dto.ts", "TypeScript", 0, 0, -24, 0, 0, 0, 0, 0, 0, -6, -30
"d:\HDSP_HYBRID\backend\src\modules\document-platform\forms-runtime\dto\finalize-instance.dto.ts", "TypeScript", 0, 0, -8, 0, 0, 0, 0, 0, 0, -2, -10
"d:\HDSP_HYBRID\backend\src\modules\document-platform\forms-runtime\dto\save-answers.dto.ts", "TypeScript", 0, 0, -12, 0, 0, 0, 0, 0, 0, -3, -15
"d:\HDSP_HYBRID\backend\src\modules\document-platform\forms-runtime\execution-context\data-source-provider.interface.ts", "TypeScript", 0, 0, -12, 0, 0, 0, 0, 0, -8, -3, -23
"d:\HDSP_HYBRID\backend\src\modules\document-platform\forms-runtime\execution-context\execution-context.builder.ts", "TypeScript", 0, 0, -38, 0, 0, 0, 0, 0, -1, -8, -47
"d:\HDSP_HYBRID\backend\src\modules\document-platform\forms-runtime\execution-platform\computed-fields.engine.ts", "TypeScript", 0, 0, -13, 0, 0, 0, 0, 0, -11, -5, -29
"d:\HDSP_HYBRID\backend\src\modules\document-platform\forms-runtime\execution-platform\execution-metrics.interceptor.ts", "TypeScript", 0, 0, -15, 0, 0, 0, 0, 0, -7, -2, -24
"d:\HDSP_HYBRID\backend\src\modules\document-platform\forms-runtime\execution-platform\lifecycle-orchestrator.service.ts", "TypeScript", 0, 0, -106, 0, 0, 0, 0, 0, -23, -24, -153
